LISTED RESTAURANTS,LINKS RESTAURANTS,DIFFERENCE,5PM FILES
Gonda=42,Gonda=63,-21,34
Gondia=55,Gondia=83,-28,44
Gopalganj=28,Gopalganj=35,-7,63
Gorakhpur=393,Gorakhpur=393,0,28
Gudivada=42,Gudivada=50,-8,406
Gudur=11,Gudur=19,-8,33
Guna=49,Guna=59,-10,12
Guntakal=16,Guntakal=33,-17,46
Guntur=287,Guntur=287,0,14
Gurdaspur=46,Gurdaspur=54,-8,280
Gwalior=406,Gwalior=406,0,50
Habra=46,Habra=78,-32,426
Hajipur=20,Hajipur=42,-22,60
Haldia=13,Haldia=19,-6,20
Haldwani=209,Haldwani=209,0,13
Halol=16,Halol=21,-5,211
Hamirpur=1,Hamirpur=1,0,6
Hanumangarh=50,Hanumangarh=70,-20,1
Hapur=64,Hapur=84,-20,46
Hardoi=49,Hardoi=69,-20,63
Haridwar=166,Haridwar=166,0,51
Hassan=72,Hassan=96,-24,166
Hathras=20,Hathras=27,-7,72
Haveri=7,Haveri=10,-3,22
Himmatnagar=46,Himmatnagar=56,-10,7
Hisar=197,Hisar=197,0,39
Hoshangabad=43,Hoshangabad=65,-22,195
Hoshiarpur=122,Hoshiarpur=122,0,7
Hospet=24,Hospet=36,-12,46
Hosur=115,Hosur=115,0,127
Hubli=211,Hubli=211,0,24
Ichalkaranji=22,Ichalkaranji=33,-11,107
Imphal=104,Imphal=104,0,179
Indore=1269,Indore=1273,-4,28
Itanagar=2,Itanagar=2,0,100
Itarsi=33,Itarsi=38,-5,1332
Jabalpur=397,Jabalpur=396,1,2
Jagdalpur=35,Jagdalpur=54,-19,36
Jagraon=29,Jagraon=50,-21,423
Jagtial=26,Jagtial=37,-11,40
Jahanabad=21,Jahanabad=38,-17,30
Jaipur=1555,Jaipur=1553,2,26
Jalandhar=552,Jalandhar=552,0,22
Jalgaon=120,Jalgaon=120,0,1637
Jalna=35,Jalna=51,-16,568
Jalpaiguri=39,Jalpaiguri=52,-13,137
Jammu=316,Jammu=316,0,35
Jamnagar=117,Jamnagar=117,0,45
Jamshedpur=431,Jamshedpur=431,0,97
Jamui=20,Jamui=25,-5,136
Jaunpur=58,Jaunpur=82,-24,487
Jhalawar=24,Jhalawar=32,-8,22
Jhansi=270,Jhansi=270,0,60
Jhargram=22,Jhargram=26,-4,25
Jharsuguda=23,Jharsuguda=38,-15,248
Jhunjhunu=32,Jhunjhunu=41,-9,23
Jind=55,Jind=80,-25,23
Jjajjar=1,Jjajjar=3,-2,28
Jodhpur=648,Jodhpur=651,-3,57
Jorhat=143,Jorhat=143,0,1
Junagadh=72,Junagadh=94,-22,647
Kadapa=80,Kadapa=97,-17,144
Kadayanallur=8,Kadayanallur=18,-10,76
Kadiri=12,Kadiri=21,-9,71
Kaithal=47,Kaithal=66,-19,5
Kakinada=188,Kakinada=188,0,9
Kalaburagi=108,Kalaburagi=108,0,49
Kamareddy=25,Kamareddy=40,-15,152
Kanchrapara=74,Kanchrapara=85,-11,107
Kannauj=15,Kannauj=24,-9,25
Kanpur=1047,Kanpur=1043,4,85
Kanyakumari=21,Kanyakumari=26,-5,17
Kapurthala=59,Kapurthala=82,-23,1121
Karad=85,Karad=100,-15,19
Karaikal=14,Karaikal=24,-10,56
Karaikkudi=48,Karaikkudi=87,-39,73
Karimnagar=141,Karimnagar=141,0,11
Karnal=156,Karnal=156,0,40
Karur=86,Karur=99,-13,146
Karwar=31,Karwar=40,-9,151
Kashipur=57,Kashipur=95,-38,82
Katihar=28,Katihar=53,-25,22
Katni=44,Katni=66,-22,56
Kavali=15,Kavali=22,-7,32
Kayamkulam=28,Kayamkulam=47,-19,49
Kendrapada=10,Kendrapada=15,-5,14
Kendujhar=19,Kendujhar=32,-13,31
Khagaria=19,Khagaria=23,-4,10
Khalilabad=14,Khalilabad=22,-8,17
Khamgaon=18,Khamgaon=26,-8,19
Khammam=132,Khammam=132,0,14
Khandwa=39,Khandwa=53,-14,21
Khanna=75,Khanna=100,-25,131
Kharagpur=2,Kharagpur=15,-13,43
Kishanganj=14,Kishanganj=25,-11,81
Kishangarh=32,Kishangarh=43,-11,2
Kochi=269,Kochi=269,0,17
Kodaikanal=19,Kodaikanal=32,-13,32
Kohima=1,Kohima=23,-22,260
Kokrajhar=23,Kokrajhar=34,-11,19
Kolar=25,Kolar=37,-12,1
Kolhapur=312,Kolhapur=312,0,25
Kollam=117,Kollam=117,0,27
Koppal=11,Koppal=14,-3,230
Korba=47,Korba=81,-34,134
Kota=633,Kota=633,0,10
Kotdwar=38,Kotdwar=53,-15,45
Kothagudem=4,Kothagudem=8,-4,648
Kottayam=129,Kottayam=129,0,40
Kovilpatti=39,Kovilpatti=63,-24,4
Kozhikode=193,Kozhikode=193,0,123
Krishnagiri=44,Krishnagiri=64,-20,40
Krishnanagar=12,Krishnanagar=23,-11,223
Kullu=1,Kullu=2,-1,41
Kumbakonam=76,Kumbakonam=96,-20,12
Kurnool=144,Kurnool=144,0,1
Kurukshetra=134,Kurukshetra=134,0,68
Kushalnagar=15,Kushalnagar=32,-17,116
Lakhimpur=56,Lakhimpur=91,-35,127
Lalitpur=19,Lalitpur=26,-7,12
Latur=130,Latur=130,0,53
Lonavla=104,Lonavla=104,0,18
Lpu-phagwara=117,Lpu-phagwara=117,0,132
Lucknow=1759,Lucknow=1759,0,76
Ludhiana=955,Ludhiana=956,-1,202
Machilipatnam=42,Machilipatnam=55,-13,1776
Madanapalle=58,Madanapalle=82,-24,992
Madhubani=35,Madhubani=40,-5,33
Madikeri=25,Madikeri=28,-3,55
Madurai=453,Madurai=454,-1,37
Mahbubnagar=72,Mahbubnagar=97,-25,25
Mahoba=16,Mahoba=28,-12,431
Mainpuri=40,Mainpuri=44,-4,73
Malappuram=16,Malappuram=49,-33,14
Malda=47,Malda=65,-18,39
Malegaon=20,Malegaon=34,-14,24
Malout=28,Malout=36,-8,45
Mancherial=47,Mancherial=74,-27,25
Mandapeta=14,Mandapeta=23,-9,25
Mandi-dabwali=16,Mandi-dabwali=18,-2,44
Mandi-gobindgarh=66,Mandi-gobindgarh=97,-31,4
Mandsaur=45,Mandsaur=65,-20,15
Mandya=46,Mandya=66,-20,61
Mangaluru=385,Mangaluru=385,0,47
Manipal=172,Manipal=172,0,43
Mansa=39,Mansa=48,-9,351
Markapur=11,Markapur=14,-3,143
Mathura=198,Mathura=198,0,38
Maunath-bhanjan=26,Maunath-bhanjan=28,-2,8
Mayiladuthurai=23,Mayiladuthurai=35,-12,199
Medinipur=52,Medinipur=64,-12,26
Meerut=404,Meerut=404,0,22
Mehsana=109,Mehsana=109,0,56
Mettupalayam=18,Mettupalayam=35,-17,423
Miryalaguda=18,Miryalaguda=34,-16,68
Mirzapur=37,Mirzapur=53,-16,22
Modinagar=22,Modinagar=45,-23,20
Moga=77,Moga=97,-20,35
Moradabad=181,Moradabad=181,0,23
Morbi=32,Morbi=50,-18,73
Morena=29,Morena=40,-11,190
Motihari=33,Motihari=54,-21,35
Mount-abu=2,Mount-abu=8,-6,27
Mughalsarai=25,Mughalsarai=38,-13,33
Mukerian=1,Mukerian=1,0,2
Muktsar=35,Muktsar=51,-16,24
Munger=30,Munger=39,-9,1
Mussoorie=1,Mussoorie=21,-20,34
Muzaffarnagar=115,Muzaffarnagar=115,0,32
Muzaffarpur=141,Muzaffarpur=141,0,1
Mysore=485,Mysore=485,0,117
Nabadwip=12,Nabadwip=22,-10,146
Nabha=1,Nabha=15,-14,449
Nadiad=80,Nadiad=99,-19,16
Nagaon=59,Nagaon=83,-24,1
Nagapattinam=12,Nagapattinam=22,-10,79
Nagda=12,Nagda=22,-10,61
Nagercoil=107,Nagercoil=107,0,13
Nagpur=1215,Nagpur=1215,0,12
Naharlagun=2,Naharlagun=2,0,111
Nainital=24,Nainital=39,-15,1277
Nalbari=11,Nalbari=25,-14,2
Nalgonda=40,Nalgonda=63,-23,21
Namakkal=71,Namakkal=95,-24,11
Nanded=146,Nanded=146,0,42
Nandurbar=13,Nandurbar=13,0,67
Nandyal=55,Nandyal=77,-22,139
Nangal=30,Nangal=39,-9,12
Naraingarh=14,Naraingarh=18,-4,42
Narasaraopet=20,Narasaraopet=33,-13,33
Narnaul=33,Narnaul=49,-16,15
Narsinghpur=12,Narsinghpur=26,-14,19
Nashik=169,Nashik=169,0,34
Navsari=87,Navsari=97,-10,11
Neemuch=28,Neemuch=48,-20,137
Nellore=216,Nellore=216,0,99
Neyveli=6,Neyveli=19,-13,30
Nirmal=10,Nirmal=24,-14,208
Nizamabad=76,Nizamabad=86,-10,6
Noida=1534,Noida=1533,1,10
Noida-1=1,Noida-1=1,0,81
North-lakhimpur=31,North-lakhimpur=35,-4,1550
Ongole=111,Ongole=111,0,924
Ooty=46,Ooty=63,-17,31
Orai=65,Orai=84,-19,96
Palakkad=117,Palakkad=117,0,43
Palampur=1,Palampur=40,-39,64
Palani=15,Palani=32,-17,7
Palanpur=33,Palanpur=51,-18,125
Palghar=2,Palghar=2,0,1
Pali=47,Pali=80,-33,17
Palwal=34,Palwal=61,-27,34
Panipat=230,Panipat=230,0,2
Paradeep=11,Paradeep=26,-15,50
Paramakudi=18,Paramakudi=26,-8,34
Parbhani=27,Parbhani=40,-13,215
Parvathipuram=12,Parvathipuram=20,-8,14
Pathankot=110,Pathankot=110,0,11
Patiala=260,Patiala=260,0,26
Patna=783,Patna=783,0,10
Perambalur=31,Perambalur=49,-18,107
Phagwara=105,Phagwara=105,0,260
Piler=12,Piler=19,-7,795
Pilibhit=45,Pilibhit=64,-19,29
Pilkhuwa=17,Pilkhuwa=32,-15,104
Pinjore-city=1,Pinjore-city=39,-38,9
Pondicherry=371,Pondicherry=371,0,42
Porbandar=20,Porbandar=47,-27,16
Port-blair=66,Port-blair=97,-31,30
Pratapgarh=17,Pratapgarh=30,-13,348
Proddatur=36,Proddatur=73,-37,25
Pudukkottai=60,Pudukkottai=81,-21,66
Puri=74,Puri=94,-20,18
Purnea=98,Purnea=99,-1,37
Purulia=42,Purulia=55,-13,55
Pusad=20,Pusad=33,-13,65
Rae-bareli=69,Rae-bareli=94,-25,98
Raghunathpur=16,Raghunathpur=22,-6,48
Raichur=59,Raichur=80,-21,19
Raiganj=26,Raiganj=34,-8,69
Raigarh=50,Raigarh=83,-33,20
Raipur=637,Raipur=637,0,55
Rajahmundry=150,Rajahmundry=150,0,27
Rajampet=13,Rajampet=22,-9,52
Rajapalayam=35,Rajapalayam=62,-27,668
Rajkot=453,Rajkot=453,0,149
Rajnandgaon=37,Rajnandgaon=51,-14,14
Rajsamand=22,Rajsamand=28,-6,37
Ramagundam=32,Ramagundam=53,-21,536
Ramanagara=6,Ramanagara=14,-8,37
Ramanathapuram=27,Ramanathapuram=38,-11,22
Ramgarh=33,Ramgarh=41,-8,34
Rampur=41,Rampur=65,-24,6
Ranaghat-wb=7,Ranaghat-wb=24,-17,25
Ranchi=574,Ranchi=575,-1,34
Rangia=1,Rangia=1,0,47
Rangpo=1,Rangpo=1,0,10
Ranibennur=11,Ranibennur=20,-9,594
Raniganj=18,Raniganj=26,-8,1
Ratlam=75,Ratlam=98,-23,1
Ratnagiri=58,Ratnagiri=92,-34,5
Rayachoty=18,Rayachoty=25,-7,22
Rayagada=7,Rayagada=25,-18,85
Rewa=98,Rewa=99,-1,53
Rewari=98,Rewari=99,-1,20
Rishikesh=137,Rishikesh=137,0,11
Rohtak=284,Rohtak=284,0,100
Roorkee=109,Roorkee=109,0,100
Ropar=52,Ropar=81,-29,140
Rourkela=113,Rourkela=113,0,230
Rudrapur=113,Rudrapur=113,0,109
Sagar=112,Sagar=112,0,47
Saharanpur=147,Saharanpur=147,0,133
Saharsa=37,Saharsa=43,-6,115
Salem=243,Salem=243,0,112
Samastipur=45,Samastipur=54,-9,149
Sambalpur=42,Sambalpur=90,-48,36
Sangli=141,Sangli=141,0,244
Sangrur=60,Sangrur=69,-9,45
Sankarankoil=12,Sankarankoil=14,-2,54
Santipur=6,Santipur=13,-7,156
Sasaram=29,Sasaram=40,-11,61
Satara=87,Satara=99,-12,10
Satna=102,Satna=102,0,8
Sawai-madhopur=16,Sawai-madhopur=27,-11,31
Sehore=19,Sehore=25,-6,87
Shahjahanpur=83,Shahjahanpur=98,-15,105
Shamli=15,Shamli=26,-11,22
Shikohabad=11,Shikohabad=20,-9,18
Shillong=127,Shillong=127,0,82
Shimla=1,Shimla=13,-12,15
Shirdi-city=1,Shirdi-city=6,-5,11
Shivamogga=97,Shivamogga=100,-3,125
Shivpuri=43,Shivpuri=54,-11,1
Siddipet=43,Siddipet=56,-13,1
Sikar=187,Sikar=187,0,89
Silchar=68,Silchar=85,-17,45
Siliguri=488,Siliguri=489,-1,44
Silvassa=43,Silvassa=59,-16,185
Sindhanur=15,Sindhanur=21,-6,71
Singrauli=10,Singrauli=13,-3,494
Sirsa=133,Sirsa=133,0,43
Sirsi=20,Sirsi=25,-5,15
Sitamarhi=26,Sitamarhi=41,-15,10
Sitapur=45,Sitapur=66,-21,130
Sivakasi=34,Sivakasi=64,-30,18
Sivasagar=53,Sivasagar=78,-25,24
Siwan=38,Siwan=52,-14,45
Solan=97,Solan=98,-1,38
Solapur=215,Solapur=215,0,57
Sonipat=139,Sonipat=139,0,37
Sri-ganganagar=172,Sri-ganganagar=172,0,93
Srikakulam=47,Srikakulam=77,-30,232
Srinagar=114,Srinagar=114,0,147
Srivilliputhur=30,Srivilliputhur=47,-17,167
Sullurpeta=4,Sullurpeta=14,-10,46
Sultanpur=84,Sultanpur=99,-15,47
Sulthan-bathery=2,Sulthan-bathery=15,-13,32
Surat=881,Surat=877,4,4
Suratgarh=39,Suratgarh=51,-12,85
Surendranagar-dudhrej=12,Surendranagar-dudhrej=33,-21,2
