34 restaurants Narnaul
11 restaurants Narsinghpur
137 restaurants Nashik
99 restaurants Navsari
30 restaurants Neemuch
208 restaurants Nellore
6 restaurants Neyveli
10 restaurants Nirmal
81 restaurants Nizamabad
1550 restaurants Noida
924 restaurants Noida-1
31 restaurants North-lakhimpur
96 restaurants Ongole
43 restaurants Ooty
64 restaurants Orai
7 restaurants Osmanabad
125 restaurants Palakkad
0 Palakollu
1 restaurant Palampur
17 restaurants Palani
34 restaurants Palanpur
2 restaurants Palghar
50 restaurants Pali
34 restaurants Palwal
215 restaurants Panipat
14 restaurants Paradeep
11 restaurants Paramakudi
26 restaurants Parbhani
10 restaurants Parvathipuram
107 restaurants Pathankot
260 restaurants Patiala
795 restaurants Patna
0 Pattukkottai
29 restaurants Perambalur
104 restaurants Phagwara
9 restaurants Piler
42 restaurants Pilibhit
16 restaurants Pilkhuwa
30 restaurants Pinjore-city
348 restaurants Pondicherry
25 restaurants Porbandar
66 restaurants Port-blair
18 restaurants Pratapgarh
37 restaurants Proddatur
55 restaurants Pudukkottai
65 restaurants Puri
98 restaurants Purnea
48 restaurants Purulia
19 restaurants Pusad
0 Puttur
69 restaurants Rae-bareli
20 restaurants Raghunathpur
55 restaurants Raichur
27 restaurants Raiganj
52 restaurants Raigarh
668 restaurants Raipur
149 restaurants Rajahmundry
14 restaurants Rajampet
37 restaurants Rajapalayam
0 Rajgarh
536 restaurants Rajkot
37 restaurants Rajnandgaon
22 restaurants Rajsamand
34 restaurants Ramagundam
6 restaurants Ramanagara
25 restaurants Ramanathapuram
34 restaurants Ramgarh
47 restaurants Rampur
10 restaurants Ranaghat-wb
594 restaurants Ranchi
1 restaurant Rangia
1 restaurant Rangpo
5 restaurants Ranibennur
22 restaurants Raniganj
85 restaurants Ratlam
53 restaurants Ratnagiri
0 Ravulapalem
20 restaurants Rayachoty
11 restaurants Rayagada
100 restaurants Rewa
100 restaurants Rewari
140 restaurants Rishikesh
0 Roha
230 restaurants Rohtak
109 restaurants Roorkee
47 restaurants Ropar
133 restaurants Rourkela
115 restaurants Rudrapur
112 restaurants Sagar
149 restaurants Saharanpur
36 restaurants Saharsa
244 restaurants Salem
45 restaurants Samastipur
54 restaurants Sambalpur
0 Sangamner
156 restaurants Sangli
61 restaurants Sangrur
10 restaurants Sankarankoil
8 restaurants Santipur
31 restaurants Sasaram
87 restaurants Satara
105 restaurants Satna
22 restaurants Sawai-madhopur
18 restaurants Sehore
82 restaurants Shahjahanpur
15 restaurants Shamli
11 restaurants Shikohabad
125 restaurants Shillong
1 restaurant Shimla
1 restaurant Shirdi-city
89 restaurants Shivamogga
45 restaurants Shivpuri
44 restaurants Siddipet
185 restaurants Sikar
71 restaurants Silchar
494 restaurants Siliguri
43 restaurants Silvassa
15 restaurants Sindhanur
10 restaurants Singrauli
0 Sirkali
130 restaurants Sirsa
18 restaurants Sirsi
24 restaurants Sitamarhi
45 restaurants Sitapur
38 restaurants Sivakasi
57 restaurants Sivasagar
37 restaurants Siwan
93 restaurants Solan
232 restaurants Solapur
147 restaurants Sonipat
167 restaurants Sri-ganganagar
46 restaurants Srikakulam
47 restaurants Srinagar
32 restaurants Srivilliputhur
4 restaurants Sullurpeta
85 restaurants Sultanpur
2 restaurants Sulthan-bathery
969 restaurants Surat
38 restaurants Suratgarh
15 restaurants Surendranagar-dudhrej
22 restaurants Suri
17 restaurants Suryapet
25 restaurants Tadepalligudem
6 restaurants Tadpatri
23 restaurants Tanuku
0 Tarn-taran-sahib
23 restaurants Tenkasi
75 restaurants Tezpur
141 restaurants Thanjavur
37 restaurants Theni
86 restaurants Thiruvalla
